timeStamp,elapsed,responseCode,success,failureMessage,bytes,sentBytes,Latency,IdleTime,Connect
1557923943249,22,200,true,,2693,1574,22,0,1
1557923943261,19,200,true,,2689,1571,19,0,1
1557923943262,21,200,true,,2677,1577,21,0,1
1557923943265,20,200,true,,2661,1576,20,0,1
1557923943268,18,200,true,,2681,1574,18,0,0
1557923943270,6274,200,true,,1924,1573,6274,0,0
1557923943280,17,200,true,,2677,1576,17,0,1
1557923943281,19,200,true,,2685,1570,19,0,1
1557923943285,19,200,true,,2681,1574,19,0,0
1557923943287,18,200,true,,2681,1575,18,0,0
1557923943539,253,200,true,,1932,1574,253,0,2
1557923943546,264,200,true,,1931,1568,264,0,0
1557923943547,275,200,true,,1931,1580,275,0,1
1557923943549,266,200,true,,1932,1576,266,0,0
1557923943561,273,200,true,,1934,1575,273,0,0
